discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
0,0.0,Abstract Pattern Kangaroo Pocket Hoodie,26.99,7784160,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5600kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/abstract-pattern-kangaroo-pocket-hoodie-product7784160.html,0
43,19.99,Lion Paint Graphic Front Pocket Casual Hoodie,35.36,8268285,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/lion-paint-graphic-front-pocket-product8268285.html,0
52,19.99,Indian Wolf Graphic Pouch Pocket Drawstring Hoodie,41.29,8275776,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5050kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/indian-wolf-graphic-pouch-pocket-product8275776.html,1
73,9.99,Contrast Color Kangaroo Pockets Hoodie,37.25,8159178,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Patchwork;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/contrast-color-kangaroo-pockets-hoodie-product8159178.html,0
0,0.0,Marvel Spider-Man Faux Twinset Hoodie,29.99,8356032,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Colorblock,Graphic;Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/marvel-spider-man-faux-twinset-product8356032.html,0
0,0.0,Marvel Spider-Man Comic Graphic Casual Hoodie,26.99,8355152,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Character,Graphic,Letter;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/marvel-spider-man-comic-graphic-product8355152.html,0
0,0.0,Kangaroo Pocket Gothic Print Hoodie,29.99,8349746,"Clothes Type:Hoodie;Occasion:Daily;Style:Gothic;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.6800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/kangaroo-pocket-gothic-print-hoodie-product8349746.html,1
46,19.99,Spider Web Print Casual Hoodie,36.98,8170510,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Novelty;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.4700kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/spider-web-print-long-sleeves-product8170510.html,2
0,0.0,Front Pocket Unicorn Print Contrast Hoodie,26.99,8378242,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.4700kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/front-pocket-unicorn-print-contrast-product8378242.html,0
29,26.99,Tribal Characters Pattern Front Pocket Drawstring Hoodie,37.79,8339442,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5650kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/tribal-characters-pattern-front-pocket-product8339442.html,1
